ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_1620	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter
Seq_1622	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1623	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter
Seq_1626	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified
Seq_1628	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Unclassified	Unclassified
Seq_1630	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_1631	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter
Seq_1632	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unclassified	Unclassified
Seq_1640	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
Seq_1641	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Unclassified	Unclassified
Seq_1644	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
Seq_1650	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Seq_1652	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055
Seq_1657	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Unclassified
Seq_1658	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_1659	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Rufibacter
Seq_1668	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified
Seq_1669	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter
Seq_1670	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter
Seq_1676	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Seq_1683	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1686	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
